#TYPE	INDEX	FIELD	VALUE	NOTE
Item	1083	ToolTip	DollyMask	疑似外观名、占位文本或物品名，建议并入名称专项
Item	1084	ToolTip	Jack Sparrow	疑似外观名、占位文本或物品名，建议并入名称专项
Item	1085	ToolTip	Male Assassin	疑似外观名、占位文本或物品名，建议并入名称专项
Item	1086	ToolTip	Female Assassin	疑似外观名、占位文本或物品名，建议并入名称专项
Item	1087	ToolTip	Santa Claus with Candy cane.	疑似外观名、占位文本或物品名，建议并入名称专项
Item	1088	ToolTip	Santa's best friend	疑似外观名、占位文本或物品名，建议并入名称专项
Item	1089	ToolTip	Spider(Scythe)	疑似外观名、占位文本或物品名，建议并入名称专项
Item	1090	ToolTip	Manectric Club\t	剩余可见英文，待后续人工复核
Item	1091	ToolTip	Manectric Hammer	疑似外观名、占位文本或物品名，建议并入名称专项
Item	1092	ToolTip	Spider(BarbarianScythe)	疑似外观名、占位文本或物品名，建议并入名称专项
Item	1093	ToolTip	RedOverAlls(M)	疑似外观名、占位文本或物品名，建议并入名称专项
Item	1094	ToolTip	Red/Yellow(F)	疑似外观名、占位文本或物品名，建议并入名称专项
Item	1095	ToolTip	Blue(M)	疑似外观名、占位文本或物品名，建议并入名称专项
Item	1096	ToolTip	Red/White(F)	疑似外观名、占位文本或物品名，建议并入名称专项
Item	1097	ToolTip	Football Red	疑似外观名、占位文本或物品名，建议并入名称专项
Item	1098	ToolTip	White Dress RedTrident(F)	疑似外观名、占位文本或物品名，建议并入名称专项
Item	1099	ToolTip	Black Dress Fan	疑似外观名、占位文本或物品名，建议并入名称专项
Item	1100	ToolTip	Black Sword(M)	疑似外观名、占位文本或物品名，建议并入名称专项
Item	1101	ToolTip	Gold Armour + Scythe(M)	疑似外观名、占位文本或物品名，建议并入名称专项
Item	1102	ToolTip	Ice King	疑似外观名、占位文本或物品名，建议并入名称专项
Item	1103	ToolTip	Football Player Black uniform	疑似外观名、占位文本或物品名，建议并入名称专项
Item	1104	ToolTip	Football Player Red and Blue uniform	疑似外观名、占位文本或物品名，建议并入名称专项
Item	1105	ToolTip	Football Player White Blue stripe uniform	疑似外观名、占位文本或物品名，建议并入名称专项
Item	1106	ToolTip	Football Player White uniform	疑似外观名、占位文本或物品名，建议并入名称专项
Item	1107	ToolTip	Football Player Pink and Blue uniform	疑似外观名、占位文本或物品名，建议并入名称专项
Item	1108	ToolTip	WhiteDress Blue/Red Trident	疑似外观名、占位文本或物品名，建议并入名称专项
Item	1109	ToolTip	Angry Sheep	疑似外观名、占位文本或物品名，建议并入名称专项
Item	1110	ToolTip	Formal Male	疑似外观名、占位文本或物品名，建议并入名称专项
Item	1268	ToolTip	在一段时间内提升攻击。\\r\\n-持续 1 小时\\r\\n-不可叠加	剩余可见英文，待后续人工复核
Item	1269	ToolTip	在一段时间内提升攻击。\\r\\n-持续 3 小时\\r\\n-不可叠加	剩余可见英文，待后续人工复核
Item	1270	ToolTip	在一段时间内提升攻击。\\r\\n-持续 5 小时\\r\\n-不可叠加	剩余可见英文，待后续人工复核
Item	1271	ToolTip	在一段时间内提升魔法。\\r\\n-持续 1 小时\\r\\n-不可叠加	剩余可见英文，待后续人工复核
Item	1272	ToolTip	在一段时间内提升魔法。\\r\\n-持续 3 小时\\r\\n-不可叠加	剩余可见英文，待后续人工复核
Item	1273	ToolTip	在一段时间内提升魔法。\\r\\n-持续 5 小时\\r\\n-不可叠加	剩余可见英文，待后续人工复核
Item	1274	ToolTip	在一段时间内提升道术。\\r\\n-持续 1 小时\\r\\n-不可叠加	剩余可见英文，待后续人工复核
Item	1275	ToolTip	在一段时间内提升道术。\\r\\n-持续 3 小时\\r\\n-不可叠加	剩余可见英文，待后续人工复核
Item	1276	ToolTip	在一段时间内提升道术。\\r\\n-持续 5 小时\\r\\n-不可叠加	剩余可见英文，待后续人工复核
Item	1277	ToolTip	在一段时间内提升你的生命值。\\r\\n-持续 1 小时\\r\\n-不可叠加	剩余可见英文，待后续人工复核
Item	1278	ToolTip	在一段时间内提升你的生命值。\\r\\n-持续 3 小时\\r\\n-不可叠加	剩余可见英文，待后续人工复核
Item	1279	ToolTip	在一段时间内提升你的生命值。\\r\\n-持续 5 小时\\r\\n-不可叠加	剩余可见英文，待后续人工复核
Item	1280	ToolTip	在一段时间内提升你的魔法值。\\r\\n-持续 1 小时\\r\\n-不可叠加	剩余可见英文，待后续人工复核
Item	1281	ToolTip	在一段时间内提升你的魔法值。\\r\\n-持续 3 小时\\r\\n-不可叠加	剩余可见英文，待后续人工复核
Item	1282	ToolTip	在一段时间内提升你的魔法值。\\r\\n-持续 5 小时\\r\\n-不可叠加	剩余可见英文，待后续人工复核
Item	1283	ToolTip	在一段时间内提升你的攻击速度。\\r\\n-持续 1 小时\\r\\n-不可叠加	剩余可见英文，待后续人工复核
Item	1284	ToolTip	在一段时间内提升你的攻击速度。\\r\\n-持续 3 小时\\r\\n-不可叠加	剩余可见英文，待后续人工复核
Item	1285	ToolTip	在一段时间内提升你的攻击速度。\\r\\n-持续 5 小时\\r\\n-不可叠加	剩余可见英文，待后续人工复核
Item	1286	ToolTip	可使你从死亡中复活的卷轴。\r\n复活后 HP 100%\r\n复活后 MP 100%\r\n	含保留缩写或命令，已中文化主体或待专项确认
Item	1287	ToolTip	可减少 PK 值的卷轴。\r\n-PK 值减少 100\r\n-一次性使用。\r\n	含保留缩写或命令，已中文化主体或待专项确认
Item	1288	ToolTip	记录所有城镇位置的神秘卷轴。\r\n-一次性使用。	剩余可见英文，待后续人工复核
Item	1289	ToolTip	记录所有地牢入口位置的神秘卷轴。\r\n-一次性使用。	剩余可见英文，待后续人工复核
Item	1290	ToolTip	可召唤一名守卫的卷轴。\r\n-召唤一名守卫。\r\n-持续 7 天。\r\n-命令 @GuardsHelp	含保留缩写或命令，已中文化主体或待专项确认
Item	1291	ToolTip	古老号角，可在当前位置范围喊话。\r\n-以绿色文字向当前位置喊话。\r\n-一次性使用。	剩余可见英文，待后续人工复核
Item	1292	ToolTip	古老号角，可向全服喊话。\r\n-以紫色文字向全服喊话。\r\n-一次性使用。	剩余可见英文，待后续人工复核
Item	1293	ToolTip	神秘卷轴，可改变你的性别。\r\n-一次性使用。	剩余可见英文，待后续人工复核
Item	1294	ToolTip	神秘石，可提供额外经验。\r\n-额外经验 30%\r\n-不可叠加\r\n-命令 @MysteriousStoneON\r\n-命令 @MysteriousStoneOFF	含保留缩写或命令，已中文化主体或待专项确认
Item	1295	ToolTip	商城购买的高级火炬。\\r\\n-攻击 +1\\r\\n-持续 3 小时	剩余可见英文，待后续人工复核
Item	1296	ToolTip	商城购买的高级火炬。\\r\\n-魔法 +1\\r\\n-持续 3 小时	剩余可见英文，待后续人工复核
Item	1297	ToolTip	商城购买的高级火炬。\\r\\n-道术 +1\\r\\n-持续 3 小时	剩余可见英文，待后续人工复核
Item	1298	ToolTip	商城购买的高级火炬。\\r\\n-攻击 +3\\r\\n-持续 2 小时	剩余可见英文，待后续人工复核
Item	1299	ToolTip	商城购买的高级火炬。\\r\\n-魔法 +3\\r\\n-持续 2 小时	剩余可见英文，待后续人工复核
Item	1300	ToolTip	商城购买的高级火炬。\\r\\n-道术 +3\\r\\n-持续 2 小时	剩余可见英文，待后续人工复核
Item	1301	ToolTip	在一段时间内获得额外经验。\\r\\n-额外经验 30%\\r\\n-持续 1 小时\\r\\n-不可叠加	剩余可见英文，待后续人工复核
Item	1302	ToolTip	在一段时间内获得额外经验。\\r\\n-额外经验 30%\\r\\n-持续 3 小时\\r\\n-不可叠加	剩余可见英文，待后续人工复核
Item	1303	ToolTip	在一段时间内获得额外经验。\\r\\n-额外经验 30%\\r\\n-持续 5 小时\\r\\n-不可叠加	剩余可见英文，待后续人工复核
Item	1304	ToolTip	在一段时间内获得额外经验。\\r\\n-额外经验 30%\\r\\n-持续 1 天\\r\\n-不可叠加	剩余可见英文，待后续人工复核
Item	1305	ToolTip	在一段时间内获得额外经验。\\r\\n-额外经验 50%\\r\\n-持续 1 小时\\r\\n-不可叠加	剩余可见英文，待后续人工复核
Item	1306	ToolTip	在一段时间内获得额外经验。\\r\\n-额外经验 50%\\r\\n-持续 3 小时\\r\\n-不可叠加	剩余可见英文，待后续人工复核
Item	1307	ToolTip	在一段时间内获得额外经验。\\r\\n-额外经验 50%\\r\\n-持续 5 小时\\r\\n-不可叠加	剩余可见英文，待后续人工复核
Item	1308	ToolTip	在一段时间内获得额外经验。\\r\\n-额外经验 50%\\r\\n-持续 1 天\\r\\n-不可叠加	剩余可见英文，待后续人工复核
Item	1309	ToolTip	在一段时间内获得额外掉落率。\\r\\n-额外掉落率提高 20%\\r\\n-持续 1 天\\r\\n-不可叠加	剩余可见英文，待后续人工复核
Item	1310	ToolTip	限时物品。\r\n药水会提供以下强化。\r\n-持续 3 小时\r\n-不可叠加	剩余可见英文，待后续人工复核
Item	1311	ToolTip	限时物品。\r\n药水会提供以下强化。\r\n-持续 7 小时\r\n-不可叠加	剩余可见英文，待后续人工复核
Item	1312	ToolTip	限时物品。\r\n药水会提供以下强化。\r\n-持续 3 小时\r\n-不可叠加	剩余可见英文，待后续人工复核
Item	1313	ToolTip	限时物品。\r\n药水会提供以下强化。\r\n-持续 7 小时\r\n-不可叠加	剩余可见英文，待后续人工复核
Item	1314	ToolTip	限时物品。\r\n药水会提供以下强化。\r\n-持续 3 小时\r\n-不可叠加	剩余可见英文，待后续人工复核
Item	1315	ToolTip	限时物品。\r\n药水会提供以下强化。\r\n-持续 7 小时\r\n-不可叠加	剩余可见英文，待后续人工复核
Item	1316	ToolTip	限时物品。\r\n药水会提供以下强化。\r\n-持续 3 小时\r\n-不可叠加	剩余可见英文，待后续人工复核
Item	1317	ToolTip	限时物品。\r\n药水会提供以下强化。\r\n-持续 7 小时\r\n-不可叠加	剩余可见英文，待后续人工复核
Item	1318	ToolTip	在一段时间内提升你的物理防御。\r\n-物理防御 +7\r\n-持续 1 天\r\n-不可叠加	剩余可见英文，待后续人工复核
Item	1319	ToolTip	在一段时间内提升你的准确。\r\n-持续 1 小时\r\n-不可叠加	剩余可见英文，待后续人工复核
Item	1320	ToolTip	物理狩猎礼包包含：\r\n-经验 +30%\r\n-最大 HP +180\r\n-攻击 +9\r\n-攻击火炬\r\n-攻速 +8\r\n-复活卷轴 *全部持续 30 分钟*	含保留缩写或命令，已中文化主体或待专项确认
Item	1321	ToolTip	魔法狩猎礼包包含：\r\n-经验 +30%\r\n-最大 HP +180\r\n-魔法 +7\r\n-魔法火炬\r\n-复活卷轴 *全部持续 30 分钟*	含保留缩写或命令，已中文化主体或待专项确认
Item	1322	ToolTip	道术狩猎礼包包含：\r\n-经验 +30%\r\n-最大 HP +180\r\n-道术 +7\r\n-道术火炬\r\n-复活卷轴 *全部持续 30 分钟*	含保留缩写或命令，已中文化主体或待专项确认
Item	1323	ToolTip	在一段时间内提升攻击。\\r\\n-持续 30 分钟\\r\\n-不可叠加	剩余可见英文，待后续人工复核
Item	1324	ToolTip	在一段时间内提升魔法。\\r\\n-持续 30 分钟\\r\\n-不可叠加	剩余可见英文，待后续人工复核
Item	1325	ToolTip	在一段时间内提升道术。\\r\\n-持续 30 分钟\\r\\n-不可叠加	剩余可见英文，待后续人工复核
Item	1326	ToolTip	在一段时间内提升你的生命值。\\r\\n-持续 30 分钟\\r\\n-不可叠加	剩余可见英文，待后续人工复核
Item	1327	ToolTip	在一段时间内提升你的攻击速度。\\r\\n-持续 30 分钟\\r\\n-不可叠加	剩余可见英文，待后续人工复核
Item	1336	ToolTip	可减少 10 点 PK 值的药物。	含保留缩写或命令，已中文化主体或待专项确认
Item	1337	ToolTip	任务奖励物品。\r\n神秘盒子内含：\r\n-力量灵药[1]\r\n-防御灵药[1]\r\n-人参灵药[1]\r\n-EXP20%[1]\r\n-持续 1 天	含保留缩写或命令，已中文化主体或待专项确认
Item	1338	ToolTip	圣水盒中获得的神秘药水。\r\n-攻击 +7\r\n-魔法 +5\r\n-道术 +5\r\n-持续 1 天\r\n-不可叠加	剩余可见英文，待后续人工复核
Item	1339	ToolTip	圣水盒中获得的神秘药水。\r\n-物理防御 +7\r\n-魔法防御 +5\r\n-持续 1 天\r\n-不可叠加	剩余可见英文，待后续人工复核
Item	1340	ToolTip	圣水盒中获得的神秘药水。\r\n-最大 HP +50\r\n-最大 MP +70\r\n-持续 1 天\r\n-不可叠加	含保留缩写或命令，已中文化主体或待专项确认
Item	1341	ToolTip	在一段时间内获得额外经验。\\r\\n-额外经验 20%\\r\\n-持续 1 天\\r\\n-不可叠加	剩余可见英文，待后续人工复核
Item	1342	ToolTip	-允许进入高级地牢\\r\\n-持续 1 天	剩余可见英文，待后续人工复核
Item	1343	ToolTip	-允许进入高级地牢\\r\\n-持续 3 天	剩余可见英文，待后续人工复核
Item	1344	ToolTip	-允许进入高级地牢\\r\\n-持续 7 天	剩余可见英文，待后续人工复核
Item	1345	ToolTip	-允许进入高级地牢\\r\\n-持续 15 天	剩余可见英文，待后续人工复核
Item	1346	ToolTip	高级钓鱼礼包。\r\n商城购买礼包包含：\r\n:红色鱼竿（6 个月）\r\n:高级鱼线轮\r\n:高级浮漂\r\n:高级探测器\r\n:高级鱼饵 x7200	剩余可见英文，待后续人工复核
Item	1350	ToolTip	Costume Girl	疑似外观名、占位文本或物品名，建议并入名称专项
Item	1351	ToolTip	BlackTiger(F)	疑似外观名、占位文本或物品名，建议并入名称专项
Item	1352	ToolTip	BlackTiger(M)	疑似外观名、占位文本或物品名，建议并入名称专项
Item	1353	ToolTip	Bossy(F)	疑似外观名、占位文本或物品名，建议并入名称专项
Item	1354	ToolTip	Bossy(M)	疑似外观名、占位文本或物品名，建议并入名称专项
Item	1355	ToolTip	GymnasticsQueen	疑似外观名、占位文本或物品名，建议并入名称专项
Item	1356	ToolTip	OldManFishing	疑似外观名、占位文本或物品名，建议并入名称专项
Item	1357	ToolTip	Pig	疑似外观名、占位文本或物品名，建议并入名称专项
Item	1358	ToolTip	SkiKid	疑似外观名、占位文本或物品名，建议并入名称专项
Item	1359	ToolTip	Sportman	疑似外观名、占位文本或物品名，建议并入名称专项
Item	1360	ToolTip	Yizhili	疑似外观名、占位文本或物品名，建议并入名称专项
Item	1361	ToolTip	商城购买的高级火炬。\\r\\n-攻击 +3\\r\\n-持续 30 分钟	剩余可见英文，待后续人工复核
Item	1362	ToolTip	商城购买的高级火炬。\\r\\n-魔法 +1\\r\\n-持续 30 分钟	剩余可见英文，待后续人工复核
Item	1363	ToolTip	商城购买的高级火炬。\\r\\n-道术 +3\\r\\n-持续 30 分钟	剩余可见英文，待后续人工复核
Item	1386	ToolTip	In the Kunlun region, it seems to have lost its strength	剩余可见英文，待后续人工复核
Item	1388	ToolTip	In the Kunlun region, it seems to have lost its strength	剩余可见英文，待后续人工复核
Item	1389	ToolTip	In the Kunlun region, it seems to have lost its strength	剩余可见英文，待后续人工复核
Item	1390	ToolTip	In the Kunlun region, it seems to have lost its strength	剩余可见英文，待后续人工复核
Item	1391	ToolTip	In the Kunlun region, it seems to have lost its strength	剩余可见英文，待后续人工复核
Item	1392	ToolTip	In the Kunlun region, it seems to have lost its strength	剩余可见英文，待后续人工复核
