#TYPE	INDEX	FIELD	SOURCE	TARGET
Item	1268	ToolTip	Improvement of Destruction for a certain period of time.\r\n-Duratiuon 1 Hour\r\n-None Stackable	在一段时间内提升攻击。\r\n-持续 1 Hour\r\n-不可叠加
Item	1269	ToolTip	Improvement of Destruction for a certain period of time.\r\n-Duratiuon 3 Hours\r\n-None Stackable	在一段时间内提升攻击。\r\n-持续 3 Hours\r\n-不可叠加
Item	1270	ToolTip	Improvement of Destruction for a certain period of time.\r\n-Duratiuon 5 Hours\r\n-None Stackable	在一段时间内提升攻击。\r\n-持续 5 Hours\r\n-不可叠加
Item	1271	ToolTip	Improvement of Magic for a certain period of time.\r\n-Duratiuon 1 Hour\r\n-None Stackable	在一段时间内提升魔法。\r\n-持续 1 Hour\r\n-不可叠加
Item	1272	ToolTip	Improvement of Magic for a certain period of time.\r\n-Duratiuon 3 Hours\r\n-None Stackable	在一段时间内提升魔法。\r\n-持续 3 Hours\r\n-不可叠加
Item	1273	ToolTip	Improvement of Magic for a certain period of time.\r\n-Duratiuon 5 Hours\r\n-None Stackable	在一段时间内提升魔法。\r\n-持续 5 Hours\r\n-不可叠加
Item	1274	ToolTip	Improvement of Soul Magic for a certain period of time.\r\n-Duratiuon 1 Hour\r\n-None Stackable	在一段时间内提升道术。\r\n-持续 1 Hour\r\n-不可叠加
Item	1275	ToolTip	Improvement of Soul Magic for a certain period of time.\r\n-Duratiuon 3 Hours\r\n-None Stackable	在一段时间内提升道术。\r\n-持续 3 Hours\r\n-不可叠加
Item	1276	ToolTip	Improvement of Soul Magic for a certain period of time.\r\n-Duratiuon 5 Hours\r\n-None Stackable	在一段时间内提升道术。\r\n-持续 5 Hours\r\n-不可叠加
Item	1277	ToolTip	Improvement of your Health for a certain period of time.\r\n-Duratiuon 1 Hour\r\n-None Stackable	在一段时间内提升你的生命值。\r\n-持续 1 Hour\r\n-不可叠加
Item	1278	ToolTip	Improvement of your Health for a certain period of time.\r\n-Duratiuon 3 Hours\r\n-None Stackable	在一段时间内提升你的生命值。\r\n-持续 3 Hours\r\n-不可叠加
Item	1279	ToolTip	Improvement of your Health for a certain period of time.\r\n-Duratiuon 5 Hours\r\n-None Stackable	在一段时间内提升你的生命值。\r\n-持续 5 Hours\r\n-不可叠加
Item	1280	ToolTip	Improvement of your Mana for a certain period of time.\r\n-Duratiuon 1 Hour\r\n-None Stackable	在一段时间内提升你的魔法值。\r\n-持续 1 Hour\r\n-不可叠加
Item	1281	ToolTip	Improvement of your Mana for a certain period of time.\r\n-Duratiuon 3 Hours\r\n-None Stackable	在一段时间内提升你的魔法值。\r\n-持续 3 Hours\r\n-不可叠加
Item	1282	ToolTip	Improvement of your Mana for a certain period of time.\r\n-Duratiuon 5 Hours\r\n-None Stackable	在一段时间内提升你的魔法值。\r\n-持续 5 Hours\r\n-不可叠加
Item	1283	ToolTip	Improvement of your Attack Speed for a certain period of time.\r\n-Duratiuon 1 Hour\r\n-None Stackable	在一段时间内提升你的攻击速度。\r\n-持续 1 Hour\r\n-不可叠加
Item	1284	ToolTip	Improvement of your Attack Speed for a certain period of time.\r\n-Duratiuon 3 Hours\r\n-None Stackable	在一段时间内提升你的攻击速度。\r\n-持续 3 Hours\r\n-不可叠加
Item	1285	ToolTip	Improvement of your Attack Speed for a certain period of time.\r\n-Duratiuon 5 Hours\r\n-None Stackable	在一段时间内提升你的攻击速度。\r\n-持续 5 Hours\r\n-不可叠加
Item	1295	ToolTip	Premium Torch purchased from the GameShop.\r\n-Destruction Power +1\r\n-Duratiuon 3 Hours	商城购买的高级火炬。\r\n-攻击 +1\r\n-持续 3 Hours
Item	1296	ToolTip	Premium Torch purchased from the GameShop.\r\n-Magical Power +1\r\n-Duratiuon 3 Hours	商城购买的高级火炬。\r\n-魔法 +1\r\n-持续 3 Hours
Item	1297	ToolTip	Premium Torch purchased from the GameShop.\r\n-Soul Power +1\r\n-Duratiuon 3 Hours	商城购买的高级火炬。\r\n-道术 +1\r\n-持续 3 Hours
Item	1298	ToolTip	Premium Torch purchased from the GameShop.\r\n-Destruction Power +3\r\n-Duratiuon 2 Hours	商城购买的高级火炬。\r\n-攻击 +3\r\n-持续 2 Hours
Item	1299	ToolTip	Premium Torch purchased from the GameShop.\r\n-Magical Power +3\r\n-Duratiuon 2 Hours	商城购买的高级火炬。\r\n-魔法 +3\r\n-持续 2 Hours
Item	1300	ToolTip	Premium Torch purchased from the GameShop.\r\n-Soul Power +3\r\n-Duratiuon 2 Hours	商城购买的高级火炬。\r\n-道术 +3\r\n-持续 2 Hours
Item	1301	ToolTip	Additional Experience acquired for a period of time.\r\n-Additional Experience 30%\r\n-Duration 1 Hour\r\n-None Stackable	在一段时间内获得额外经验。\r\n-额外经验 30%\r\n-持续 1 Hour\r\n-不可叠加
Item	1302	ToolTip	Additional Experience acquired for a period of time.\r\n-Additional Experience 30%\r\n-Duration 3 Hours\r\n-None Stackable	在一段时间内获得额外经验。\r\n-额外经验 30%\r\n-持续 3 Hours\r\n-不可叠加
Item	1303	ToolTip	Additional Experience acquired for a period of time.\r\n-Additional Experience 30%\r\n-Duration 5 Hours\r\n-None Stackable	在一段时间内获得额外经验。\r\n-额外经验 30%\r\n-持续 5 Hours\r\n-不可叠加
Item	1304	ToolTip	Additional Experience acquired for a period of time.\r\n-Additional Experience 30%\r\n-Duration 1 Day\r\n-None Stackable	在一段时间内获得额外经验。\r\n-额外经验 30%\r\n-持续 1 Day\r\n-不可叠加
Item	1305	ToolTip	Additional Experience acquired for a period of time.\r\n-Additional Experience 50%\r\n-Duration 1 Hour\r\n-None Stackable	在一段时间内获得额外经验。\r\n-额外经验 50%\r\n-持续 1 Hour\r\n-不可叠加
Item	1306	ToolTip	Additional Experience acquired for a period of time.\r\n-Additional Experience 50%\r\n-Duration 3 Hours\r\n-None Stackable	在一段时间内获得额外经验。\r\n-额外经验 50%\r\n-持续 3 Hours\r\n-不可叠加
Item	1307	ToolTip	Additional Experience acquired for a period of time.\r\n-Additional Experience 50%\r\n-Duration 5 Hours\r\n-None Stackable	在一段时间内获得额外经验。\r\n-额外经验 50%\r\n-持续 5 Hours\r\n-不可叠加
Item	1308	ToolTip	Additional Experience acquired for a period of time.\r\n-Additional Experience 50%\r\n-Duration 1 Day\r\n-None Stackable	在一段时间内获得额外经验。\r\n-额外经验 50%\r\n-持续 1 Day\r\n-不可叠加
Item	1309	ToolTip	Additional Drop Rate acquired for a period of time.\r\n-Additional Drop Increase by 20%\r\n-Duration 1 Day\r\n-None Stackable	在一段时间内获得额外掉落率。\r\n-额外掉落率提高 20%\r\n-持续 1 Day\r\n-不可叠加
Item	1323	ToolTip	Improvement of Destruction for a certain period of time.\r\n-Duratiuon 30 Minuets\r\n-None Stackable	在一段时间内提升攻击。\r\n-持续 30 Minuets\r\n-不可叠加
Item	1324	ToolTip	Improvement of Magic for a certain period of time.\r\n-Duratiuon 30 Minuets\r\n-None Stackable	在一段时间内提升魔法。\r\n-持续 30 Minuets\r\n-不可叠加
Item	1325	ToolTip	Improvement of Soul Magic for a certain period of time.\r\n-Duratiuon 30 Minuets\r\n-None Stackable	在一段时间内提升道术。\r\n-持续 30 Minuets\r\n-不可叠加
Item	1326	ToolTip	Improvement of your Health for a certain period of time.\r\n-Duratiuon 30 Minuets\r\n-None Stackable	在一段时间内提升你的生命值。\r\n-持续 30 Minuets\r\n-不可叠加
Item	1327	ToolTip	Improvement of your Attack Speed for a certain period of time.\r\n-Duratiuon 30 Minuets\r\n-None Stackable	在一段时间内提升你的攻击速度。\r\n-持续 30 Minuets\r\n-不可叠加
Item	1336	ToolTip	Medicine which reduces your PK Point by 10.	可减少 10 点 PK 值的药物。
Item	1341	ToolTip	Additional Experience acquired for a period of time.\r\n-Additional Experience 20%\r\n-Duration 1 Day\r\n-None Stackable	在一段时间内获得额外经验。\r\n-额外经验 20%\r\n-持续 1 Day\r\n-不可叠加
Item	1342	ToolTip	-Allows Entry to the Premium Dungeon\r\n-Duration 1 Day	-允许进入高级地牢\r\n-持续 1 Day
Item	1343	ToolTip	-Allows Entry to the Premium Dungeon\r\n-Duration 3 Days	-允许进入高级地牢\r\n-持续 3 Days
Item	1344	ToolTip	-Allows Entry to the Premium Dungeon\r\n-Duration 7 Days	-允许进入高级地牢\r\n-持续 7 Days
Item	1345	ToolTip	-Allows Entry to the Premium Dungeon\r\n-Duration 15 Days	-允许进入高级地牢\r\n-持续 15 Days
Item	1361	ToolTip	Premium Torch purchased from the GameShop.\r\n-Destruction Power +3\r\n-Duratiuon 30 Minutes	商城购买的高级火炬。\r\n-攻击 +3\r\n-持续 30 Minutes
Item	1362	ToolTip	Premium Torch purchased from the GameShop.\r\n-Magical Power +1\r\n-Duratiuon 30 Minutes	商城购买的高级火炬。\r\n-魔法 +1\r\n-持续 30 Minutes
Item	1363	ToolTip	Premium Torch purchased from the GameShop.\r\n-Soul Power +3\r\n-Duratiuon 30 Minutes	商城购买的高级火炬。\r\n-道术 +3\r\n-持续 30 Minutes
Item	1368	ToolTip	Invite players to your GT.	邀请玩家进入你的行会试炼。
